iter	RMSE
0	609018.6351
1	579010.6375
2	553123.8359
3	530211.1404
4	511391.0839
5	495183.9276
6	479749.8405
7	466900.8094
8	455229.2137
9	445761.9572
10	437453.592
11	428309.2654
12	421417.4631
13	414717.1902
14	409215.9785
15	403710.126
16	399115.2984
17	394591.9035
18	390751.5933
19	386730.8865
20	382727.1871
21	379415.7261
22	375997.1633
23	372904.6174
24	370844.3865
25	368046.2832
26	365777.0026
27	363697.5409
28	361325.8682
29	359257.5849
30	357617.571
31	356250.1927
32	354391.9402
33	352759.2463
34	351343.7812
35	349823.4475
36	348162.7885
37	347171.5215
38	346267.2555
39	345205.8034
40	344054.5168
41	342520.201
42	341328.3808
43	340502.8118
44	339653.6804
45	338399.9601
46	337433.2672
47	336741.6922
48	335801.876
49	334842.7576
50	334307.9455
51	333574.3033
52	332859.9423
53	331827.1189
54	331097.2449
55	330563.0993
56	329853.7982
57	329293.7654
58	328565.1993
59	327771.657
60	327170.3002
61	326061.2583
62	325452.7489
63	324732.8898
64	324249.0524
65	323795.138
66	323484.9603
67	323238.5424
68	322936.8196
69	322495.7473
70	321705.2746
71	321133.2048
72	320378.4798
73	319852.8707
74	319409.5401
75	318946.1382
76	318270.202
77	317884.3061
78	317261.8672
79	316861.2783
80	316302.4518
81	316091.4817
82	315762.2177
83	315381.6528
84	315042.5012
85	314442.1119
86	314121.2374
87	313640.5567
88	313216.662
89	312704.1236
90	312110.3928
91	311781.9294
92	311498.298
93	311116.8387
94	310806.6543
95	310596.5746
96	310041.445
97	309684.9152
98	309232.3065
99	308805.1393
100	308333.6508
101	307942.5556
102	307595.6852
103	307129.0867
104	306801.0377
105	306544.0521
106	306447.3676
107	306224.6108
108	305846.3002
109	305412.5313
110	305053.7215
111	304779.3891
112	304579.9185
113	304157.2809
114	303784.6581
115	303227.5911
116	302918.5322
117	302381.5144
118	301933.1641
119	301682.5251
120	301220.6883
121	300888.4864
122	300657.674
123	300391.1766
124	300113.4802
125	299764.8936
126	299259.8552
127	299097.1823
128	298942.8184
129	298788.9499
130	298433.7229
131	297911.9783
132	297480.5881
133	297222.8835
134	296987.7527
135	296753.185
136	296613.5785
137	296214.8991
138	295984.8267
139	295775.0103
140	295624.3882
141	295425.7597
142	295098.0967
143	294686.7065
144	294400.0624
145	294095.3395
146	293973.7712
147	293858.1846
148	293648.3391
149	293426.2919
150	293165.7019
151	292969.5946
152	292722.946
153	292389.2767
154	292195.3392
155	291908.1861
156	291686.4164
157	291406.8856
158	291210.1142
159	291002.8089
160	290847.6907
161	290682.9648
162	290580.3938
163	290306.6015
164	290039.8001
165	289721.2669
166	289570.9969
167	289163.9862
168	288879.2935
169	288646.2246
170	288470.2204
171	288389.5124
172	288151.6933
173	287929.4411
174	287635.4737
175	287393.2302
176	287250.6682
177	286985.5987
178	286960.0729
179	286798.198
180	286564.5039
181	286476.8176
182	286074.454
183	285868.4938
184	285676.807
185	285541.3798
186	285422.2549
187	285183.258
188	284997.7844
189	284704.3722
190	284505.2974
191	284320.343
192	284175.1695
193	284023.9377
194	283756.9571
195	283730.8612
196	283531.4435
197	283474.8716
198	283095.8849
199	282944.5439
200	282683.0084
201	282349.7674
202	282199.2896
203	282067.1347
204	281791.7583
205	281583.1446
206	281464.5215
207	281281.2987
208	281042.1417
209	280854.2686
210	280825.4999
211	280588.9729
212	280439.4974
213	280192.8211
214	279907.5928
215	279617.1016
216	279597.3761
217	279494.8208
218	279343.1247
219	279114.8284
220	279007.5292
221	278880.7441
222	278726.0202
223	278501.917
224	278485.1234
225	278394.7503
226	278227.0426
227	278054.931
228	277938.3593
229	277809.9069
230	277599.405
231	277426.5174
232	277241.8843
233	277058.9021
234	276822.7485
235	276686.727
236	276670.8675
237	276596.4667
238	276526.1503
239	276423.6816
240	276288.3818
241	276106.7164
242	275925.0692
243	275759.9337
244	275547.483
245	275480.541
246	275334.3717
247	275270.8158
248	275115.1583
249	275000.2836
250	274825.5349
251	274663.8763
252	274401.9082
253	274313.759
254	274174.8539
255	273946.9095
256	273852.3915
257	273735.9169
258	273620.4977
259	273368.4206
260	273180.6542
261	273030.7554
262	272777.1871
263	272627.0275
264	272442.7301
265	272251.8031
266	272071.194
267	271924.0851
268	271782.7441
269	271683.3738
270	271604.3391
271	271460.9282
272	271395.4084
273	271128.5873
274	270991.5327
275	270846.8672
276	270759.6473
277	270575.3241
278	270411.8813
279	270392.9397
280	270229.7766
281	270104.6669
282	270021.9903
283	269770.3234
284	269639.9643
285	269504.8453
286	269396.026
287	269376.6417
288	269288.0771
289	269223.5135
290	269142.978
291	268913.6232
292	268843.6151
293	268732.3846
294	268677.94
295	268660.8079
296	268518.977
297	268449.6045
298	268365.6189
299	268251.8724
300	268202.5954
301	268066.7492
302	267931.993
303	267807.1342
304	267551.6935
305	267417.7374
306	267187.3257
307	267175.6528
308	267018.6796
309	266913.5729
310	266867.5102
311	266769.328
312	266578.1143
313	266397.0492
314	266318.0274
315	266248.845
316	266148.9121
317	265976.186
318	265965.0175
319	265774.0098
320	265570.1169
321	265495.7908
322	265353.0996
323	265242.0954
324	265139.0632
325	265127.0679
326	264971.3055
327	264692.2806
328	264623.8917
329	264586.6619
330	264351.9351
331	264247.791
332	264124.2338
333	263885.5768
334	263743.3047
335	263598.6387
336	263497.6087
337	263345.6159
338	263283.0011
339	263090.3971
340	262947.7469
341	262908.9771
342	262777.5526
343	262712.9306
344	262622.9199
345	262559.7724
346	262396.9675
347	262318.9208
348	262188.0629
349	261940.4705
350	261805.6395
351	261794.6284
352	261738.9348
353	261617.9405
354	261486.64
355	261409.9279
356	261286.4276
357	261097.3405
358	261041.2248
359	260936.417
360	260780.2915
361	260700.1937
362	260689.1425
363	260513.6631
364	260387.2071
365	260352.7866
366	260283.3086
367	260208.3682
368	260166.9379
369	260051.8154
370	260031.0317
371	259946.9023
372	259910.0159
373	259759.671
374	259649.5767
375	259530.2549
376	259356.9776
377	259243.0006
378	259172.7124
379	259107.519
380	259001.0102
381	258879.0226
382	258753.8296
383	258640.2492
384	258564.4537
385	258413.8606
386	258348.5355
387	258317.4839
388	258180.7306
389	258149.0881
390	258034.7981
391	257838.4727
392	257731.7647
393	257633.0239
394	257534.3282
395	257521.7491
396	257465.193
397	257403.5847
398	257235.7685
399	257172.9186
400	256988.5331
401	256931.3033
402	256762.8216
403	256753.5289
404	256664.5734
405	256570.0991
406	256517.2206
407	256407.2631
408	256377.6322
409	256282.3316
410	256197.7614
411	256043.1464
412	255961.2166
413	255855.9225
414	255765.4928
415	255664.1082
416	255541.3696
417	255407.9722
418	255283.0855
419	255216.1807
420	255057.6591
421	254962.4788
422	254856.1338
423	254757.67
424	254661.0328
425	254590.1662
426	254385.8102
427	254362.6217
428	254301.3939
429	254293.608
430	254184.6031
431	254062.0327
432	254003.3851
433	253916.7793
434	253811.5775
435	253746.8009
436	253555.9889
437	253547.5727
438	253448.8286
439	253383.1009
440	253330.7383
441	253246.0094
442	253191.1246
443	253115.4496
444	253045.5927
445	252856.5813
446	252790.8286
447	252679.3665
448	252561.3753
449	252497.7777
450	252444.9015
451	252352.3219
452	252283.8169
453	252240.6125
454	252061.39
455	251959.914
456	251824.4644
457	251735.7004
458	251727.6841
459	251719.6304
460	251634.3279
461	251469.2261
462	251435.0574
463	251347.2135
464	251269.7451
465	251194.2941
466	251046.5638
467	250926.7451
468	250822.2564
469	250744.5284
470	250699.979
471	250591.4303
472	250538.6766
473	250512.3325
474	250379.5929
475	250304.3985
476	250204.8386
477	250164.9569
478	250012.9516
479	249882.7171
480	249828.7898
481	249746.4694
482	249683.9688
483	249584.1819
484	249525.9031
485	249516.0691
486	249384.5756
487	249256.7601
488	249215.2129
489	249103.2727
490	248992.8955
491	248938.2523
492	248885.1343
493	248853.3399
494	248775.0444
495	248740.1968
