iter	Passed	Remaining
0	5	29490
1	11	28597
2	16	28215
3	22	27665
4	27	27343
5	32	26988
6	37	26783
7	42	26632
8	47	26490
9	52	26441
10	58	26361
11	63	26455
12	68	26405
13	74	26388
14	79	26410
15	84	26449
16	89	26368
17	95	26378
18	100	26315
19	105	26254
20	110	26231
21	115	26179
22	120	26109
23	125	26048
24	130	26000
25	135	26002
26	141	26030
27	146	26043
28	151	26047
29	157	26033
30	162	26015
31	167	25987
32	172	25964
33	177	25964
34	182	25941
35	187	25905
36	192	25885
37	198	25855
38	203	25896
39	209	25968
40	214	25987
41	220	25997
42	225	25960
43	230	25919
44	235	25901
45	240	25855
46	245	25821
47	250	25810
48	255	25800
49	260	25795
50	265	25799
51	271	25797
52	276	25777
53	281	25745
54	286	25724
55	291	25705
56	296	25712
57	301	25686
58	306	25662
59	311	25645
60	316	25614
61	321	25597
62	326	25616
63	331	25593
64	336	25584
65	342	25570
66	347	25556
67	352	25543
68	357	25539
69	362	25526
70	367	25514
71	372	25501
72	377	25481
73	382	25468
74	387	25464
75	392	25449
76	397	25444
77	402	25422
78	407	25395
79	413	25448
80	421	25585
81	425	25529
82	430	25531
83	436	25516
84	440	25499
85	446	25500
86	451	25492
87	456	25474
88	461	25459
89	466	25440
90	471	25426
91	476	25410
92	481	25392
93	486	25381
94	491	25365
95	496	25351
96	501	25341
97	506	25329
98	511	25312
99	516	25302
100	521	25289
101	526	25277
102	531	25269
103	536	25266
104	541	25262
105	546	25244
106	551	25226
107	556	25217
108	561	25208
109	567	25208
110	572	25198
111	577	25187
112	582	25173
113	587	25161
114	592	25147
115	596	25134
116	601	25123
117	606	25112
118	612	25125
119	618	25135
120	623	25157
121	629	25166
122	634	25164
123	640	25181
124	645	25189
125	650	25180
126	656	25177
127	661	25164
128	666	25150
129	671	25140
130	676	25126
131	680	25114
132	685	25102
133	690	25087
134	695	25075
135	700	25069
136	706	25062
137	711	25054
138	716	25043
139	721	25034
140	726	25021
141	730	25007
142	736	24999
143	741	24989
144	746	24980
145	751	24974
146	755	24956
147	760	24938
148	766	24955
149	771	24948
150	776	24937
151	781	24923
152	786	24923
153	791	24915
154	796	24909
155	802	24903
156	807	24894
157	812	24900
158	818	24906
159	823	24910
160	828	24902
161	833	24892
162	838	24878
163	843	24871
164	848	24870
165	853	24859
166	858	24850
167	863	24843
168	868	24833
169	873	24828
170	879	24823
171	884	24817
172	889	24812
173	894	24800
174	899	24793
175	904	24783
176	909	24772
177	914	24760
178	918	24751
179	923	24742
180	928	24728
181	933	24722
182	939	24724
183	944	24721
184	949	24721
185	955	24724
186	960	24719
187	966	24726
188	972	24748
189	977	24751
190	983	24750
191	988	24746
192	993	24742
193	998	24739
194	1004	24740
195	1009	24732
196	1014	24736
197	1020	24747
198	1026	24757
199	1031	24755
200	1036	24749
201	1042	24750
202	1047	24747
203	1052	24744
204	1057	24741
205	1063	24740
206	1068	24735
